chain_key,chain_name,chain_id,is_testnet,timestamp_utc,block_number,wallet,wallet_is_contract,tx_hash,tx_to,tx_input_selector,direct_to_comet,decoded_comet_function,decoded_comet_asset_symbol,decoded_comet_asset_address,decoded_comet_amount_raw,decoded_comet_amount_formatted,market_keys,market_names,comet_addresses,event_count,event_summaries,explorer_url
mainnet,Ethereum Mainnet,1,false,2026-03-06T20:24:23.000Z,24600784,0x28b88440619f2491f7624f2089aa76d9b3363818,true,0xaa26f283f2b3347d33477093838bebcf7de16d1eff9d20625af229dbbe482356,0xd1a85beaed6b5d2e61d3c50c4bd56e4e46133686,0x3b12964a,false,,,,,,weth,Compound WETH,0xA17581A9E3356d9A858b789D68B4d866e593aE94,2,Withdraw:WETH:152.565419856706843942|SupplyCollateral:UNKNOWN:142.129686595237026091,https://etherscan.io/tx/0xaa26f283f2b3347d33477093838bebcf7de16d1eff9d20625af229dbbe482356
mainnet,Ethereum Mainnet,1,false,2026-03-06T20:35:35.000Z,24600840,0x1e2ac461edc05bdc7b471cf93aeceec91f32ed29,true,0x05f1c59203a74f1e982310da28cc9d0bb71db999ba6dd70c5370df362d4e69da,0xa17581a9e3356d9a858b789d68b4d866e593ae94,0xf3fef3a3,true,withdraw,UNKNOWN,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,400000000000000000000,400,weth,Compound WETH,0xA17581A9E3356d9A858b789D68B4d866e593aE94,1,WithdrawCollateral:UNKNOWN:400,https://etherscan.io/tx/0x05f1c59203a74f1e982310da28cc9d0bb71db999ba6dd70c5370df362d4e69da
mainnet,Ethereum Mainnet,1,false,2026-03-06T20:36:23.000Z,24600844,0x0b4ac3845911750891e200e1b93e9c8aa6283e9f,true,0xe15350f5a8c0c9a24fce62fab0c37be8c908ec4aed7af89f9d277b3af11bdfe3,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840,0xf3fef3a3,true,withdraw,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129.639935,usdt,Compound USDT,0x3Afdc9BCA9213A35503b077a6072F3D0d5AB0840,1,Withdraw:USDT:145248.366216,https://etherscan.io/tx/0xe15350f5a8c0c9a24fce62fab0c37be8c908ec4aed7af89f9d277b3af11bdfe3
mainnet,Ethereum Mainnet,1,false,2026-03-06T21:08:35.000Z,24601005,0xc6db128f6ab5c6f2205d45f5ece8afcf7171c0f2,true,0x17a75ad0c0e9e41cc4403dcda1e9655fe7fce78305edc345473eac4113544600,0xa397a8c2086c554b531c02e29f3291c9704b00c7,0x555029a6,false,,,,,,usdc,Compound USDC,0xc3d688B66703497DAA19211EEdff47f25384cdc3,1,SupplyCollateral:WETH:0.3175,https://etherscan.io/tx/0x17a75ad0c0e9e41cc4403dcda1e9655fe7fce78305edc345473eac4113544600
mainnet,Ethereum Mainnet,1,false,2026-03-06T21:40:11.000Z,24601162,0xb92baa42aca9dcca57ca3b9b86543dc1b614b351,true,0xc226033a3f486c44436656b60edd88c85b9ffb23eec494eb7e881b99e1f92ac3,0xc2d0d6c49979703c524be2d21776c4874c92180e,0x3a3b18e0,false,,,,,,usdc|usdt,Compound USDC|Compound USDT,0xc3d688B66703497DAA19211EEdff47f25384cdc3|0x3Afdc9BCA9213A35503b077a6072F3D0d5AB0840,2,Supply:USDC:16666.178083|Supply:USDT:16666.497283,https://etherscan.io/tx/0xc226033a3f486c44436656b60edd88c85b9ffb23eec494eb7e881b99e1f92ac3
mainnet,Ethereum Mainnet,1,false,2026-03-06T22:10:35.000Z,24601314,0xd0214b7e8a7821a5cb07024bc00d64ece8cc1067,true,0xdd2966e13c4b62f8693eff5705dec63b93191e6f47bf218f2b92c74bed8bff77,0x398104ee496318d10ba3d47cf2492b5b7d80d639,0x1cff79cd,false,,,,,,usdc,Compound USDC,0xc3d688B66703497DAA19211EEdff47f25384cdc3,1,Withdraw:USDC:1000,https://etherscan.io/tx/0xdd2966e13c4b62f8693eff5705dec63b93191e6f47bf218f2b92c74bed8bff77
mainnet,Ethereum Mainnet,1,false,2026-03-06T22:12:35.000Z,24601324,0x95008ace75ddaef287002cb840c1cc0d133e7418,true,0xb1e84eb7a5d1aa8f1f74190a119162ea5b06c36433318e44ae34ae8326e7c3bc,0xc3d688b66703497daa19211eedff47f25384cdc3,0xf3fef3a3,true,withdraw,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,888000000,888,usdc,Compound USDC,0xc3d688B66703497DAA19211EEdff47f25384cdc3,1,Withdraw:USDC:888,https://etherscan.io/tx/0xb1e84eb7a5d1aa8f1f74190a119162ea5b06c36433318e44ae34ae8326e7c3bc
mainnet,Ethereum Mainnet,1,false,2026-03-06T23:01:11.000Z,24601566,0x5d5ce7ceaeaa68a41cd22eb303ab3c3bcd66f046,true,0x15f5aa91b07260fa6685f916099e86b5b1ca8dc0c1ab30fec9fa66c92c3db02a,0x66bf302d45a926f5832cbeda499cd81e3a46d670,0x7a9a1628,false,,,,,,weth,Compound WETH,0xA17581A9E3356d9A858b789D68B4d866e593aE94,1,Supply:WETH:122.125106199294302113,https://etherscan.io/tx/0x15f5aa91b07260fa6685f916099e86b5b1ca8dc0c1ab30fec9fa66c92c3db02a
mainnet,Ethereum Mainnet,1,false,2026-03-06T23:06:23.000Z,24601591,0xd0214b7e8a7821a5cb07024bc00d64ece8cc1067,true,0xafc6b5014099759b868f3125b9455abef325546e71195aeb5a4802a9e63a00b2,0x398104ee496318d10ba3d47cf2492b5b7d80d639,0x1cff79cd,false,,,,,,usdc,Compound USDC,0xc3d688B66703497DAA19211EEdff47f25384cdc3,1,Withdraw:USDC:1000,https://etherscan.io/tx/0xafc6b5014099759b868f3125b9455abef325546e71195aeb5a4802a9e63a00b2
mainnet,Ethereum Mainnet,1,false,2026-03-06T23:09:11.000Z,24601605,0x28b88440619f2491f7624f2089aa76d9b3363818,true,0x02f64f8760530008c82be8ba9a088d6aab81d451eb53dfe82a2e06a1736421f6,0xd1a85beaed6b5d2e61d3c50c4bd56e4e46133686,0x3b12964a,false,,,,,,weth,Compound WETH,0xA17581A9E3356d9A858b789D68B4d866e593aE94,2,Withdraw:WETH:122.088483361368283109|SupplyCollateral:UNKNOWN:113.735407247883812454,https://etherscan.io/tx/0x02f64f8760530008c82be8ba9a088d6aab81d451eb53dfe82a2e06a1736421f6
mainnet,Ethereum Mainnet,1,false,2026-03-06T23:11:59.000Z,24601619,0x3492765d83764138f43ae6f542c05e1eeaf87afd,true,0xa12402611aa5620db6b101317a28c08fa9c4444df6ec2140c246ffa97af810a9,0xc3d688b66703497daa19211eedff47f25384cdc3,0xf3fef3a3,true,withdraw,UNKNOWN,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,15000000,0.000000000015,usdc,Compound USDC,0xc3d688B66703497DAA19211EEdff47f25384cdc3,1,WithdrawCollateral:UNKNOWN:0.000000000015,https://etherscan.io/tx/0xa12402611aa5620db6b101317a28c08fa9c4444df6ec2140c246ffa97af810a9
mainnet,Ethereum Mainnet,1,false,2026-03-06T23:13:47.000Z,24601628,0x3492765d83764138f43ae6f542c05e1eeaf87afd,true,0xa9df8125183bde814186ed3d527ed0040758e352f1e3177deb10adb526616a5b,0xc3d688b66703497daa19211eedff47f25384cdc3,0xf2b9fdb8,true,supply,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,10241923129,10241.923129,usdc,Compound USDC,0xc3d688B66703497DAA19211EEdff47f25384cdc3,1,Supply:USDC:10241.923129,https://etherscan.io/tx/0xa9df8125183bde814186ed3d527ed0040758e352f1e3177deb10adb526616a5b
mainnet,Ethereum Mainnet,1,false,2026-03-06T23:32:35.000Z,24601721,0x4b4903fc893bd9bdcdddd9eb428cd15d776452f1,true,0xb5b764af586cb014bb9142ee3becc8ce7fc433279f2519e81d88b88fbfb74f76,0xc3d688b66703497daa19211eedff47f25384cdc3,0xf2b9fdb8,true,supply,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,7991930872,7991.930872,usdc,Compound USDC,0xc3d688B66703497DAA19211EEdff47f25384cdc3,1,Supply:USDC:7991.930872,https://etherscan.io/tx/0xb5b764af586cb014bb9142ee3becc8ce7fc433279f2519e81d88b88fbfb74f76
mainnet,Ethereum Mainnet,1,false,2026-03-06T23:51:23.000Z,24601813,0xa6c0f52d53db40c7a46e6a60d366b1fe58edef0f,true,0xcd843838a7c03d4deb7d16119e3b7533670e966a0bc514ead4b9ce06bffe3bdf,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840,0xf2b9fdb8,true,supply,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,25641582,0.25641582,usdt,Compound USDT,0x3Afdc9BCA9213A35503b077a6072F3D0d5AB0840,1,SupplyCollateral:WBTC:0.25641582,https://etherscan.io/tx/0xcd843838a7c03d4deb7d16119e3b7533670e966a0bc514ead4b9ce06bffe3bdf
mainnet,Ethereum Mainnet,1,false,2026-03-07T00:26:35.000Z,24601989,0x903bf06c3771ec564d8322dcee5f71bcb56b70e3,true,0xf06e82dfbf9b8f35131bef7a0fde6ed6562ac40f9d0b1ec39a661fa3664d6afa,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840,0xf2b9fdb8,true,supply,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,24919654,0.24919654,usdt,Compound USDT,0x3Afdc9BCA9213A35503b077a6072F3D0d5AB0840,1,SupplyCollateral:WBTC:0.24919654,https://etherscan.io/tx/0xf06e82dfbf9b8f35131bef7a0fde6ed6562ac40f9d0b1ec39a661fa3664d6afa
mainnet,Ethereum Mainnet,1,false,2026-03-07T00:41:47.000Z,24602064,0xdf5bfa468c9e83af12fc3024531ff59c819c32af,true,0xdcaa3ecef57492fbdd0b312790a5034b8799e919442d7eadc4bd1f318d6c2b13,0xc3d688b66703497daa19211eedff47f25384cdc3,0xf3fef3a3,true,withdraw,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129.639935,usdc,Compound USDC,0xc3d688B66703497DAA19211EEdff47f25384cdc3,1,Withdraw:USDC:26028.878578,https://etherscan.io/tx/0xdcaa3ecef57492fbdd0b312790a5034b8799e919442d7eadc4bd1f318d6c2b13
mainnet,Ethereum Mainnet,1,false,2026-03-07T00:43:59.000Z,24602074,0x283132390ea87d6ecc20255b59ba94329ee17961,true,0x33f7e903b0702c2e1928e5e578c56431a9a5ae353522906e15383db6f3d9de80,0x604e586f17ce106b64185a7a0d2c1da5bace711e,0x22bee494,false,,,,,,weth,Compound WETH,0xA17581A9E3356d9A858b789D68B4d866e593aE94,1,Supply:WETH:2857.833473186940909306,https://etherscan.io/tx/0x33f7e903b0702c2e1928e5e578c56431a9a5ae353522906e15383db6f3d9de80
mainnet,Ethereum Mainnet,1,false,2026-03-07T00:44:47.000Z,24602078,0xb1c63ca05912c9cc47252c0a1328616fa18da954,true,0xbeaf5d55a833311bc1f7cd19878073ae2fca34949403e6dec797cb5db2085f4d,0xb9e62cb9b4ce8ec13c886fae67369da417ee2714,0x6e553f65,false,,,,,,usdc,Compound USDC,0xc3d688B66703497DAA19211EEdff47f25384cdc3,1,Supply:USDC:25,https://etherscan.io/tx/0xbeaf5d55a833311bc1f7cd19878073ae2fca34949403e6dec797cb5db2085f4d
mainnet,Ethereum Mainnet,1,false,2026-03-07T00:48:23.000Z,24602096,0x8ee5ad940362cbed91bf789b767e21f375875d32,true,0xdb57b7dbce5c5fe1b71f94467f931c85b4fb4580e9dd4eb34bc0ac7b2158175d,0x062bf725dc4cdf947aa79ca2aaccd4f385b13b5c,0x0710285c,false,,,,,,weth,Compound WETH,0xA17581A9E3356d9A858b789D68B4d866e593aE94,1,Withdraw:WETH:2.097774735356570568,https://etherscan.io/tx/0xdb57b7dbce5c5fe1b71f94467f931c85b4fb4580e9dd4eb34bc0ac7b2158175d
mainnet,Ethereum Mainnet,1,false,2026-03-07T00:48:59.000Z,24602099,0x1e2ac461edc05bdc7b471cf93aeceec91f32ed29,true,0x555a7d1866b9342ab39026fafb575b2a6f6f939d2692a72da6cc90457126ec29,0xc3d688b66703497daa19211eedff47f25384cdc3,0xf2b9fdb8,true,supply,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,1000000000000,1000000,usdc,Compound USDC,0xc3d688B66703497DAA19211EEdff47f25384cdc3,1,Supply:USDC:1000000,https://etherscan.io/tx/0x555a7d1866b9342ab39026fafb575b2a6f6f939d2692a72da6cc90457126ec29
