chain_key,chain_name,chain_id,is_testnet,wallet,timestamp_utc,block_number,tx_hash,tx_to,target_types,market_keys,market_names,function_names,method_ids,explorer_url
sepolia,Sepolia Testnet,11155111,true,0x16e79ff9697cef2dcdc4ca6492129845ef2cb7df,2026-03-03T08:51:24.000Z,10374469,0x31a876489fc3b05510c25a0a01c1d368483e6b52229c2623204f28eeb518c939,0xaec1f48e02cfb822be958b68c7957156eb3f0b6e,comet,usdc,Compound USDC,"supply(address token_,uint256 amount_)",0xf2b9fdb8,https://sepolia.etherscan.io/tx/0x31a876489fc3b05510c25a0a01c1d368483e6b52229c2623204f28eeb518c939
sepolia,Sepolia Testnet,11155111,true,0x16e79ff9697cef2dcdc4ca6492129845ef2cb7df,2026-03-03T11:31:12.000Z,10375246,0x7ead9ce5a62f04b39d36aa56185a78d30216cccb11947c2c12f46a724366505b,0xaec1f48e02cfb822be958b68c7957156eb3f0b6e,comet,usdc,Compound USDC,"supply(address token_,uint256 amount_)",0xf2b9fdb8,https://sepolia.etherscan.io/tx/0x7ead9ce5a62f04b39d36aa56185a78d30216cccb11947c2c12f46a724366505b
sepolia,Sepolia Testnet,11155111,true,0x16e79ff9697cef2dcdc4ca6492129845ef2cb7df,2026-03-03T11:32:12.000Z,10375251,0x19759832699ddfa938f010bd42404dcdb1a1e6b07f1eee8633ed014b5e21450a,0xaec1f48e02cfb822be958b68c7957156eb3f0b6e,comet,usdc,Compound USDC,"supply(address token_,uint256 amount_)",0xf2b9fdb8,https://sepolia.etherscan.io/tx/0x19759832699ddfa938f010bd42404dcdb1a1e6b07f1eee8633ed014b5e21450a
sepolia,Sepolia Testnet,11155111,true,0x16e79ff9697cef2dcdc4ca6492129845ef2cb7df,2026-03-03T11:36:36.000Z,10375273,0x76864adc4311ac0c7159e39698c453de68137d65f6700ee672cc468785ede77f,0xaec1f48e02cfb822be958b68c7957156eb3f0b6e,comet,usdc,Compound USDC,"withdraw(address token, uint256 amount)",0xf3fef3a3,https://sepolia.etherscan.io/tx/0x76864adc4311ac0c7159e39698c453de68137d65f6700ee672cc468785ede77f
sepolia,Sepolia Testnet,11155111,true,0x667d8368ac55c469b7aacdb38776bcc5ae585099,2026-03-03T12:01:36.000Z,10375396,0x0dcde1b5589d94716fcff9941e3957b0928677a2dffa835d3ca968a898cb9e53,0xaec1f48e02cfb822be958b68c7957156eb3f0b6e,comet,usdc,Compound USDC,"supply(address token_,uint256 amount_)",0xf2b9fdb8,https://sepolia.etherscan.io/tx/0x0dcde1b5589d94716fcff9941e3957b0928677a2dffa835d3ca968a898cb9e53
sepolia,Sepolia Testnet,11155111,true,0x667d8368ac55c469b7aacdb38776bcc5ae585099,2026-03-03T12:03:00.000Z,10375403,0x5c0d8a44db8b4dc7a6b91fd6cdcef8fca408f21ae18fcb13fbedc5471d4b4c88,0xaec1f48e02cfb822be958b68c7957156eb3f0b6e,comet,usdc,Compound USDC,"withdraw(address token, uint256 amount)",0xf3fef3a3,https://sepolia.etherscan.io/tx/0x5c0d8a44db8b4dc7a6b91fd6cdcef8fca408f21ae18fcb13fbedc5471d4b4c88
sepolia,Sepolia Testnet,11155111,true,0x667d8368ac55c469b7aacdb38776bcc5ae585099,2026-03-03T12:33:12.000Z,10375549,0x275069f1fc941d634460ddd078f2ab2b532d7c2a22b2fc0a8ba56da787a45131,0xaec1f48e02cfb822be958b68c7957156eb3f0b6e,comet,usdc,Compound USDC,"withdraw(address token, uint256 amount)",0xf3fef3a3,https://sepolia.etherscan.io/tx/0x275069f1fc941d634460ddd078f2ab2b532d7c2a22b2fc0a8ba56da787a45131
sepolia,Sepolia Testnet,11155111,true,0x667d8368ac55c469b7aacdb38776bcc5ae585099,2026-03-03T12:38:12.000Z,10375574,0x1e913dc7ed7ceea9bfcc059dee06268bc20b3e5b0132a507cf41cee83c01ffc3,0xaec1f48e02cfb822be958b68c7957156eb3f0b6e,comet,usdc,Compound USDC,"withdraw(address token, uint256 amount)",0xf3fef3a3,https://sepolia.etherscan.io/tx/0x1e913dc7ed7ceea9bfcc059dee06268bc20b3e5b0132a507cf41cee83c01ffc3
sepolia,Sepolia Testnet,11155111,true,0x112eb1ab0da8837f09966e7b23653c130ac8a094,2026-03-04T07:17:48.000Z,10381003,0x588135544232b9adaeac11a9a04ed1b48dbd620b1a1b51f19b492bd5bd447f83,0xaec1f48e02cfb822be958b68c7957156eb3f0b6e,comet,usdc,Compound USDC,"supply(address token_,uint256 amount_)",0xf2b9fdb8,https://sepolia.etherscan.io/tx/0x588135544232b9adaeac11a9a04ed1b48dbd620b1a1b51f19b492bd5bd447f83
sepolia,Sepolia Testnet,11155111,true,0x112eb1ab0da8837f09966e7b23653c130ac8a094,2026-03-04T07:19:12.000Z,10381010,0xc8374f855859233a2360f4718908fc0e288d2612de13942c34471f3f47a838f5,0xaec1f48e02cfb822be958b68c7957156eb3f0b6e,comet,usdc,Compound USDC,"withdraw(address token, uint256 amount)",0xf3fef3a3,https://sepolia.etherscan.io/tx/0xc8374f855859233a2360f4718908fc0e288d2612de13942c34471f3f47a838f5
